Date,DMA,HVA
5/16/2025,Chicago (602),191
5/16/2025,Dallas-Ft. Worth (623),182
5/16/2025,Houston (618),123
5/16/2025,Los Angeles (803),296
5/16/2025,Miami-Ft. Lauderdale (528),152
5/16/2025,New York (501),474
5/16/2025,Orlando-Daytona Bch-Melbrn (534),133
5/16/2025,Philadelphia (504),225
5/16/2025,Phoenix (Prescott) (753),96
5/16/2025,San Francisco-Oak-San Jose (807),96
5/16/2025,Tampa-St. Pete (Sarasota) (539),125
5/16/2025,Washington DC (Hagrstwn) (511),149
5/17/2025,Atlanta (524),184
5/17/2025,Boston (Manchester) (506),118
5/17/2025,Charlotte (517),88
5/17/2025,Chicago (602),150
5/17/2025,Dallas-Ft. Worth (623),157
5/17/2025,Houston (618),96
5/17/2025,Los Angeles (803),254
5/17/2025,Miami-Ft. Lauderdale (528),117
5/17/2025,New York (501),408
5/17/2025,Orlando-Daytona Bch-Melbrn (534),136
5/17/2025,Philadelphia (504),161
5/17/2025,Phoenix (Prescott) (753),99
5/17/2025,San Francisco-Oak-San Jose (807),90
5/17/2025,Tampa-St. Pete (Sarasota) (539),136
5/17/2025,Washington DC (Hagrstwn) (511),151
5/18/2025,Atlanta (524),172
5/18/2025,Boston (Manchester) (506),139
5/18/2025,Charlotte (517),128
5/18/2025,Chicago (602),146
5/18/2025,Dallas-Ft. Worth (623),180
5/18/2025,Houston (618),109
5/18/2025,Los Angeles (803),299
5/18/2025,Miami-Ft. Lauderdale (528),136
5/18/2025,New York (501),429
5/18/2025,Orlando-Daytona Bch-Melbrn (534),162
5/18/2025,Philadelphia (504),240
5/18/2025,Phoenix (Prescott) (753),110
5/18/2025,San Francisco-Oak-San Jose (807),123
5/18/2025,Tampa-St. Pete (Sarasota) (539),128
5/18/2025,Washington DC (Hagrstwn) (511),173
5/19/2025,Atlanta (524),146
5/19/2025,Boston (Manchester) (506),143
5/19/2025,Charlotte (517),109
5/19/2025,Chicago (602),202
5/19/2025,Dallas-Ft. Worth (623),175
5/19/2025,Houston (618),124
5/19/2025,Los Angeles (803),292
5/19/2025,Miami-Ft. Lauderdale (528),115
5/19/2025,New York (501),415
5/19/2025,Orlando-Daytona Bch-Melbrn (534),127
5/19/2025,Philadelphia (504),198
5/19/2025,Phoenix (Prescott) (753),122
5/19/2025,San Francisco-Oak-San Jose (807),113
5/19/2025,Tampa-St. Pete (Sarasota) (539),163
5/19/2025,Washington DC (Hagrstwn) (511),187
5/20/2025,Atlanta (524),188
5/20/2025,Boston (Manchester) (506),132
5/20/2025,Charlotte (517),95
5/20/2025,Chicago (602),156
5/20/2025,Dallas-Ft. Worth (623),178
5/20/2025,Houston (618),132
5/20/2025,Los Angeles (803),311
5/20/2025,Miami-Ft. Lauderdale (528),127
5/20/2025,New York (501),422
5/20/2025,Orlando-Daytona Bch-Melbrn (534),129
5/20/2025,Philadelphia (504),204
5/20/2025,Phoenix (Prescott) (753),110
5/20/2025,San Francisco-Oak-San Jose (807),101
5/20/2025,Tampa-St. Pete (Sarasota) (539),110
5/20/2025,Washington DC (Hagrstwn) (511),172
5/21/2025,Atlanta (524),150
5/21/2025,Boston (Manchester) (506),96
5/21/2025,Charlotte (517),94
5/21/2025,Chicago (602),184
5/21/2025,Dallas-Ft. Worth (623),162
5/21/2025,Houston (618),156
5/21/2025,Los Angeles (803),290
5/21/2025,Miami-Ft. Lauderdale (528),124
5/21/2025,New York (501),413
5/21/2025,Orlando-Daytona Bch-Melbrn (534),124
5/21/2025,Philadelphia (504),184
5/21/2025,Phoenix (Prescott) (753),94
5/21/2025,San Francisco-Oak-San Jose (807),101
5/21/2025,Tampa-St. Pete (Sarasota) (539),101
5/21/2025,Washington DC (Hagrstwn) (511),148
5/22/2025,Atlanta (524),163
5/22/2025,Boston (Manchester) (506),96
5/22/2025,Charlotte (517),92
5/22/2025,Chicago (602),181
5/22/2025,Dallas-Ft. Worth (623),175
5/22/2025,Houston (618),137
5/22/2025,Los Angeles (803),283
5/22/2025,Miami-Ft. Lauderdale (528),113
5/22/2025,New York (501),412
5/22/2025,Orlando-Daytona Bch-Melbrn (534),121
5/22/2025,Philadelphia (504),153
5/22/2025,Phoenix (Prescott) (753),121
5/22/2025,San Francisco-Oak-San Jose (807),101
5/22/2025,Tampa-St. Pete (Sarasota) (539),111
5/22/2025,Washington DC (Hagrstwn) (511),154
5/23/2025,Atlanta (524),164
5/23/2025,Boston (Manchester) (506),122
5/23/2025,Charlotte (517),93
5/23/2025,Chicago (602),172
5/23/2025,Dallas-Ft. Worth (623),158
5/23/2025,Houston (618),157
5/23/2025,Los Angeles (803),316
5/23/2025,Miami-Ft. Lauderdale (528),118
5/23/2025,New York (501),452
5/23/2025,Orlando-Daytona Bch-Melbrn (534),112
5/23/2025,Philadelphia (504),178
5/23/2025,Phoenix (Prescott) (753),119
5/23/2025,San Francisco-Oak-San Jose (807),108
5/23/2025,Tampa-St. Pete (Sarasota) (539),119
5/23/2025,Washington DC (Hagrstwn) (511),146
5/24/2025,Atlanta (524),172
5/24/2025,Boston (Manchester) (506),101
5/24/2025,Chicago (602),183
5/24/2025,Dallas-Ft. Worth (623),175
5/24/2025,Houston (618),157
5/24/2025,Los Angeles (803),319
5/24/2025,Miami-Ft. Lauderdale (528),140
5/24/2025,New York (501),442
5/24/2025,Orlando-Daytona Bch-Melbrn (534),149
5/24/2025,Philadelphia (504),208
5/24/2025,Phoenix (Prescott) (753),129
5/24/2025,San Francisco-Oak-San Jose (807),107
5/24/2025,Seattle-Tacoma (819),107
5/24/2025,Tampa-St. Pete (Sarasota) (539),144
5/24/2025,Washington DC (Hagrstwn) (511),149
5/25/2025,Atlanta (524),168
5/25/2025,Boston (Manchester) (506),142
5/25/2025,Charlotte (517),104
5/25/2025,Chicago (602),177
5/25/2025,Dallas-Ft. Worth (623),184
5/25/2025,Houston (618),161
5/25/2025,Los Angeles (803),294
5/25/2025,Miami-Ft. Lauderdale (528),123
5/25/2025,New York (501),461
5/25/2025,Orlando-Daytona Bch-Melbrn (534),150
5/25/2025,Philadelphia (504),182
5/25/2025,Phoenix (Prescott) (753),117
5/25/2025,San Francisco-Oak-San Jose (807),117
5/25/2025,Tampa-St. Pete (Sarasota) (539),134
5/25/2025,Washington DC (Hagrstwn) (511),162
5/26/2025,Atlanta (524),174
5/26/2025,Boston (Manchester) (506),127
5/26/2025,Charlotte (517),105
5/26/2025,Chicago (602),177
5/26/2025,Dallas-Ft. Worth (623),197
5/26/2025,Houston (618),130
5/26/2025,Los Angeles (803),306
5/26/2025,New York (501),416
5/26/2025,Orlando-Daytona Bch-Melbrn (534),171
5/26/2025,Philadelphia (504),195
5/26/2025,Phoenix (Prescott) (753),125
5/26/2025,Sacramnto-Stkton-Modesto (862),106
5/26/2025,San Francisco-Oak-San Jose (807),123
5/26/2025,Tampa-St. Pete (Sarasota) (539),119
5/26/2025,Washington DC (Hagrstwn) (511),150
5/27/2025,Atlanta (524),194
5/27/2025,Boston (Manchester) (506),137
5/27/2025,Charlotte (517),95
5/27/2025,Chicago (602),158
5/27/2025,Dallas-Ft. Worth (623),168
5/27/2025,Houston (618),163
5/27/2025,Los Angeles (803),301
5/27/2025,Miami-Ft. Lauderdale (528),132
5/27/2025,New York (501),500
5/27/2025,Orlando-Daytona Bch-Melbrn (534),151
5/27/2025,Philadelphia (504),207
5/27/2025,Phoenix (Prescott) (753),122
5/27/2025,San Francisco-Oak-San Jose (807),103
5/27/2025,Tampa-St. Pete (Sarasota) (539),108
5/27/2025,Washington DC (Hagrstwn) (511),169
5/28/2025,Atlanta (524),169
5/28/2025,Boston (Manchester) (506),121
5/28/2025,Chicago (602),236
5/28/2025,Dallas-Ft. Worth (623),172
5/28/2025,Detroit (505),96
5/28/2025,Houston (618),143
5/28/2025,Los Angeles (803),322
5/28/2025,Miami-Ft. Lauderdale (528),127
5/28/2025,New York (501),458
5/28/2025,Orlando-Daytona Bch-Melbrn (534),127
5/28/2025,Philadelphia (504),192
5/28/2025,Phoenix (Prescott) (753),95
5/28/2025,San Francisco-Oak-San Jose (807),100
5/28/2025,Tampa-St. Pete (Sarasota) (539),101
5/28/2025,Washington DC (Hagrstwn) (511),190
5/29/2025,Atlanta (524),161
5/29/2025,Boston (Manchester) (506),133
5/29/2025,Chicago (602),195
5/29/2025,Cleveland-Akron (Canton) (510),92
5/29/2025,Dallas-Ft. Worth (623),180
5/29/2025,Houston (618),149
5/29/2025,Los Angeles (803),300
5/29/2025,Miami-Ft. Lauderdale (528),139
5/29/2025,New York (501),443
5/29/2025,Orlando-Daytona Bch-Melbrn (534),126
5/29/2025,Philadelphia (504),223
5/29/2025,Phoenix (Prescott) (753),99
5/29/2025,San Francisco-Oak-San Jose (807),116
5/29/2025,Tampa-St. Pete (Sarasota) (539),120
5/29/2025,Washington DC (Hagrstwn) (511),130
5/30/2025,Atlanta (524),195
5/30/2025,Boston (Manchester) (506),115
5/30/2025,Charlotte (517),105
5/30/2025,Chicago (602),201
5/30/2025,Dallas-Ft. Worth (623),169
5/30/2025,Houston (618),141
5/30/2025,Los Angeles (803),326
5/30/2025,Miami-Ft. Lauderdale (528),149
5/30/2025,New York (501),473
5/30/2025,Orlando-Daytona Bch-Melbrn (534),142
5/30/2025,Philadelphia (504),201
5/30/2025,Phoenix (Prescott) (753),113
5/30/2025,San Francisco-Oak-San Jose (807),112
5/30/2025,Tampa-St. Pete (Sarasota) (539),117
5/30/2025,Washington DC (Hagrstwn) (511),160
